Nombre de la Entidad|Municipio Entidad|Departamento Entidad
ANTIOQUIA  ESE HOSPITAL SAN RAFAEL  GIRARDOTA|Girardota|Antioquia
MAGDALENA  EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTANDER HERRERA DE PIVIJAY|Pivijay|Magdalena
META  INSTITUCION EDUCATIVA SAN RAFAEL DE DOMO PLANAS  PUERTO GAITAN|Puerto Gaitán|Meta
CASANARE  INSTITUTO PARA EL DEPORTE Y LA RECREACIÓN DEL MUNICIPIO DE AGUAZUL  IDRA|Aguazul|Casanare
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE PARATEBUENO|Paratebueno|Cundinamarca
CASANARE  INSTITUTO DE DESARROLLO URBANO Y RURAL DE YOPAL|Yopal|Casanare
ANTIOQUIA  CONCEJO MUNICIPIO DE MEDELLÍN|Medellín|Antioquia
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE LA ESPERANZA|La Esperanza|Norte De Santander
CRQ  CORPORACIÓN AUTÓNOMA REGIONAL DEL QUINDÍO|Armenia|Quindío
BOGOTÁ DC  IED QUIROGA ALIANZA|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN RAFAEL|San Rafael|Antioquia
CAUCA  ALCALDÍA MUNICIPIO DE CORINTO|Corinto|Cauca
BOYACÁ  HOSPITAL SAN ANTONIO DE SOATÁ|Soatá|Boyacá
DEPARTAMENTO ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA DAFP|Bogotá D.C.|Bogotá D.C.
VAUPÉS  INSTITUTO MUNICIPAL DE DEPORTE Y RECREACIÓN DE MITÚ  IMDER|Mitú|Vaupés
ANTIOQUIA  EMPRESA DE SERVICIOS PÚBLICOS DE TAMANA CÁCERES SA ESP|Cáceres|Antioquia
HUILA  ESE CENTRO DE SALUD MIGUEL BARRETO LÓPEZ TELLO|Tello|Huila
CALDAS  ESE HOSPITAL SAN BERNANDO  FILADELFIA|Filadelfia|Caldas
LA GUAJIRA  ADMINISTRACIÓN TEMPORAL DEL SECTOR EDUCATIVO PARA EL DEPARTAMENTO DE LA GUAJIRA  RIOHACHA|Riohacha|La Guajira
SANTANDER  ALCALDÍA MUNICIPIO DE SAN ANDRÉS|San Andrés|Santander
META  INSTITUCIÓN EDUCATIVA COLEGIO GUILLERMO NIÑO MEDINA  VILLAVICENCIO|Villavicencio|Meta
CHOCÓ  ALCALDÍA MUNICIPIO DE MEDIO ATRATO|Medio Atrato|Chocó
BOYACÁ  INSTITUCIÓN EDUCATIVA SAN MARCOS  MUZO|Muzo|Boyacá
ANTIOQUIA  INSTITUCIÓN EDUCATIVA LOMA HERMOSA  MEDELLÍN|Medellín|Antioquia
SANTANDER  INSTITUTO FINANCIERO PARA EL DESARROLLO DE SANTANDER  IDESAN|Bucaramanga|Santander
ANTIOQUIA  PERSONERÍA MUNICIPIO DE ALEJANDRIA|Alejandría|Antioquia
CALDAS  INSTITUCIÓN EDUCATIVA GUACAS  PENSILVANIA|Pensilvania|Caldas
BOGOTÁ DC  IED HELADIA MEJIA|Bogotá D.C.|Bogotá D.C.
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICA TEODORO AYA VILLAVECES|Fusagasugá|Cundinamarca
CESAR  CONCEJO MUNICIPIO DE TAMALAMEQUE|Tamalameque|Cesar
ANTIOQUIA  EMPRESA DE SERVICIOS PÚBLICOS DE URAMITA SAS ESP  URAMITA|Uramita|Antioquia
BOGOTÁ DC  IED LA GAITANA|Bogotá D.C.|Bogotá D.C.
CUNDINAMARCA  INSTITUCION EDUCATIVA MUNICIPAL RURAL LUIS EDUARDO GUTIERREZ MENDEZ  ZIPAQUIRA|Zipaquirá|Cundinamarca
NARIÑO  PERSONERÍA MUNICIPIO DE MAGUI PAYÁN  MAGUI PAYÁN|Magüi|Nariño
LA GUAJIRA  INSTITUCIÓN ETNOEDUCATIVA INTEGRAL RURAL ISIDRO IBARRA FERNANDEZ  URIBIA|Uribia|La Guajira
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LA DESPENSA  SOACHA|Soacha|Cundinamarca
META  INSTITUCIÓN EDUCATIVA COLEGIO TÉCNICO FRANCISCO DE PAULA SANTANDER  VILLAVICENCIO|Villavicencio|Meta
RISARALDA  INSTITUCIÓN EDUCATIVA LA BELLA  PEREIRA|Pereira|Risaralda
ANTIOQUIA  PERSONERÍA MUNICIPIO DE ANZÁ|Anza|Antioquia
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE TORO|Toro|Valle del Cauca
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE VILLA DEL ROSARIO|Villa del Rosario|Norte De Santander
SANTANDER  ESE HOSPITAL SANTA ANA DE GUACA  GUACA|Guaca|Santander
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE OBANDO|Obando|Valle del Cauca
FONDO ROTATORIO DE LA POLICÍA NACIONAL FORPO|Bogotá D.C.|Bogotá D.C.
LA GUAJIRA  ALCALDÍA MUNICIPIO DE VILLANUEVA|Villanueva|La Guajira
BOYACÁ  ALCALDÍA MUNICIPIO DE ARCABUCO|Arcabuco|Boyacá
ANTIOQUIA  EMPRESAS PÚBLICAS MUNICIPALES DE BETANIA SA ESP|Betania|Antioquia
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL FRAY JOSÉ LEDO  CHAGUANÍ|Chaguaní|Cundinamarca
VALLE DEL CAUCA  SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA SA ACUAVALLE SAESP|Cali|Valle del Cauca
CUNDINAMARCA  PERSONERÍA MUNICIPIO DE MADRID|Madrid|Cundinamarca
VALLE DEL CAUCA  IMPRENTA DEPARTAMENTAL DEL VALLE|Cali|Valle del Cauca
CAUCA  ALCALDÍA MUNICIPIO DE SUAREZ|Suárez|Cauca
CAQUETA   EMPRESAS PUBLICAS DE EL DONCELLO SA ESP|El Doncello|Caquetá
CÓRDOBA  ALCALDÍA MUNICIPIO DE CIENAGA DE ORO|Ciénaga de Oro|Córdoba
BOGOTÁ DC  INSTITUTO DISTRITAL DE CIENCIA BIOTECNOLOGÍA E INNOVACIÓN EN SALUD  IDCBIS|Bogotá D.C.|Bogotá D.C.
META  ASOCIACIÓN DE MUNICIPIOS DEL ALTO ARIARI|Villavicencio|Meta
CASANARE  CONCEJO MUNICIPIO DE PAZ DE ARIPORO|Paz de Ariporo|Casanare
BOLIVAR FONDO ESPECIAL DE BOMBEROS CARTAGENA|Cartagena|Bolívar
GUAVIARE  ENERGUAVIARE SA ESP  SAN JOSÉ DEL GUAVIARE|San José del Guaviare|Guaviare
NARIÑO  INSTITUCION EDUCATIVA NUESTRA SEÑORA DE FATIMA|Córdoba|Nariño
BOYACÁ  GOBERNACIÓN|Tunja|Boyacá
BOLÍVAR  FONDO MUNICIPAL DE TRÁNSITO Y TRANSPORTE TERRESTRE DE MAGANGUÉ|Magangué|Bolívar
SUCRE  INSTITUCIÓN EDUCATIVA NUEVA ESPERANZA  SINCELEJO|Sincelejo|Sucre
BOGOTÁ DC  IED GERARDO PAREDES|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  HOSPITAL SAN RAFAEL DE ZARZAL|Zarzal|Valle del Cauca
VALLE DEL CAUCA  CONCEJO MUNICIPIO DE SANTIAGO DE CALI|Cali|Valle del Cauca
ANTIOQUIA  ESE HOSPITAL FRANCISCO LUIS JIMÉNEZ MARTÍNEZ  CAREPA|Carepa|Antioquia
VALLE DEL CAUCA  ESE RED DE SALUD DEL ORIENTE  CALI|Cali|Valle del Cauca
FONDO NACIONAL DE GESTIÓN DEL RIESGO DE DESASTRES  FIDUCIARIA LA PREVISORA SA|Bogotá D.C.|Bogotá D.C.
SANTANDER  IMEBU  INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL DEL MUNICIPIO DE BUCARAMANGA|Bucaramanga|Santander
VALLE DEL CAUCA  INSTITUCION EDUCATIVA EL RODEO  JAMUNDI|Jamundi|Valle del Cauca
RISARALDA  INSTITUCIÓN EDUCATIVA INSTITUTO INTEGRADO IRRA|Quinchía|Risaralda
HUILA  ALCALDÍA MUNICIPIO DE SALADOBLANCO|Saladoblanco|Huila
BOGOTÁ DC  ALCALDÍA LOCAL DE USME|Bogotá D.C.|Bogotá D.C.
LA GUAJIRA  ESE HOSPITAL ARMANDO PABON LOPEZ|Manaure|La Guajira
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE ARBOLEDAS|Arboledas|Norte De Santander
ANTIOQUIA  FONDO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA DE SABANETA|Sabaneta|Antioquia
BOGOTÁ DC  IED ATENAS|Bogotá D.C.|Bogotá D.C.
